============================================================================================
ANSOFT                                                                              06/02/25
Terminal Z Parameter Plot 1                                                         16:09:12

--------------------------------------------------------------------------------------------
        Freq [GHz]   re(Zt(flux_line_1_T1,flux_line_1_T1)) []   im(Zt(flux_line_1_T1,flux_line_1_T1)) []
 3.193333333333333                          0.000057986791112                       -128.958149133921040
 3.216666666666666                          0.000056862574282                       -127.548670441045289
 3.240000000000000                          0.000055735858749                       -126.155670998632701
 3.263333333333333                          0.000054607033403                       -124.778787561493871
 3.286666666666667                          0.000053476480712                       -123.417667081954860
 3.310000000000000                          0.000052344576464                       -122.071966349165763
 3.333333333333333                          0.000051211690209                       -120.741351643539204
 3.356666666666666                          0.000050078185495                       -119.425498405583213
 3.380000000000000                          0.000048944419620                       -118.124090918431150
 3.403333333333333                          0.000047810744383                       -116.836822003412180
 3.426666666666666                          0.000046677505814                       -115.563392728039474
 3.450000000000000                          0.000045545044495                       -114.303512125829101
 3.473333333333333                          0.000044413695564                       -113.056896927392145
 3.496666666666667                          0.000043283788860                       -111.823271302272431
 3.520000000000000                          0.000042155649276                       -110.602366611033034
 3.543333333333333                          0.000041029596515                       -109.393921167116716
 3.566666666666666                          0.000039905945332                       -108.197680008033785
 3.590000000000000                          0.000038785005636                       -107.013394675451778
 3.613333333333333                          0.000037667082678                       -105.840823003784550
 3.636666666666667                          0.000036552476988                       -104.679728916899407
 3.660000000000000                          0.000035441484438                       -103.529882232577933
 3.683333333333333                          0.000034334396366                       -102.391058474388217
 3.706666666666667                          0.000033231499805                       -101.263038690640698
 3.730000000000000                          0.000032133077160                       -100.145609280116474
 3.753333333333333                          0.000031039406544                        -99.038561824274410
 3.776666666666666                          0.000029950761807                        -97.941692925655033
 3.800000000000000                          0.000028867412561                        -96.854804052216181
 3.823333333333333                          0.000027789624166                        -95.777701387343967
 3.846666666666667                          0.000026717657745                        -94.710195685300917
 3.870000000000000                          0.000025651770462                        -93.652102131879062
 3.893333333333333                          0.000024592215109                        -92.603240210040269
 3.916666666666667                          0.000023539240657                        -91.563433570334709
 3.940000000000000                          0.000022493091815                        -90.532509905900199
 3.963333333333333                          0.000021454009449                        -89.510300831851623
 3.986666666666666                          0.000020422230246                        -88.496641768881844
 4.010000000000000                          0.000019397987066                        -87.491371830900732
 4.033333333333333                          0.000018381508590                        -86.494333716548581
 4.056666666666667                          0.000017373019758                        -85.505373604429238
 4.080000000000000                          0.000016372741404                        -84.524341051910454
 4.103333333333333                          0.000015380890455                        -83.551088897351789
 4.126666666666667                          0.000014397679994                        -82.585473165622702
 4.150000000000000                          0.000013423319005                        -81.627352976780671
 4.173333333333333                          0.000012458012684                        -80.676590457786645
 4.196666666666666                          0.000011501962328                        -79.733050657136374
 4.220000000000000                          0.000010555365144                        -78.796601462297900
 4.243333333333333                          0.000009618414539                        -77.867113519843443
 4.266666666666667                          0.000008691299983                        -76.944460158173968
 4.290000000000000                          0.000007774207006                        -76.028517312736653
 4.313333333333333                          0.000006867317198                        -75.119163453639885
 4.336666666666666                          0.000005970808232                        -74.216279515576431
 4.360000000000000                          0.000005084853782                        -73.319748829965263
 4.383333333333333                          0.000004209623602                        -72.429457059232135
 4.406666666666666                          0.000003345283486                        -71.545292133145594
 4.430000000000000                          0.000002491995251                        -70.667144187134980
 4.453333333333333                          0.000001649916715                        -69.794905502515533
 4.476666666666666                          0.000000819201676                        -68.928470448550868
 4.500000000000000                         -0.000000000000020                        -68.067735426285395
 4.523333333333333                         -0.000000807542557                        -67.212598814083535
 4.546666666666666                         -0.000001603284245                        -66.362960914810230
 4.570000000000000                         -0.000002387087306                        -65.518723904598673
 4.593333333333333                         -0.000003158818100                        -64.679791783143529
 4.616666666666666                         -0.000003918347046                        -63.846070325467728
 4.640000000000000                         -0.000004665548770                        -63.017467035109000
 4.663333333333333                         -0.000005400301757                        -62.193891098677213
 4.686666666666666                         -0.000006122488911                        -61.375253341732105
 4.710000000000000                         -0.000006831996981                        -60.561466185936411
 4.733333333333333                         -0.000007528717156                        -59.752443607439886
 4.756666666666666                         -0.000008212544592                        -58.948101096449676
 4.780000000000000                         -0.000008883378734                        -58.148355617947260
 4.803333333333333                         -0.000009541123218                        -57.353125573512344
 4.826666666666666                         -0.000010185685899                        -56.562330764213350
 4.850000000000000                         -0.000010816978895                        -55.775892354531393
 4.873333333333333                         -0.000011434918497                        -54.993732837278891
 4.896666666666666                         -0.000012039425450                        -54.215775999481110
 4.920000000000000                         -0.000012630424584                        -53.441946889186958
 4.943333333333333                         -0.000013207845160                        -52.672171783177546
 4.966666666666666                         -0.000013771620764                        -51.906378155542711
 4.990000000000000                         -0.000014321689223                        -51.144494647095357
 5.013333333333333                         -0.000014857992951                        -50.386451035596629
 5.036666666666666                         -0.000015380478404                        -49.632178206763662
 5.060000000000000                         -0.000015889096729                        -48.881608126034557
 5.083333333333333                         -0.000016383803299                        -48.134673811065014
 5.106666666666666                         -0.000016864558041                        -47.391309304932044
 5.130000000000000                         -0.000017331325126                        -46.651449650022450
 5.153333333333333                         -0.000017784073350                        -45.915030862581560
 5.176666666666666                         -0.000018222775962                        -45.181989907902611
 5.200000000000000                         -0.000018647410547                        -44.452264676133638
 5.223333333333333                         -0.000019057959325                        -43.725793958683283
 5.246666666666666                         -0.000019454408957                        -43.002517425204523
 5.270000000000000                         -0.000019836750659                        -42.282375601138298
 5.293333333333333                         -0.000020204980042                        -41.565309845798438
 5.316666666666666                         -0.000020559097416                        -40.851262330979424
 5.340000000000000                         -0.000020899107584                        -40.140176020071884
 5.363333333333333                         -0.000021225019849                        -39.431994647666642
 5.386666666666666                         -0.000021536848184                        -38.726662699633756
 5.410000000000000                         -0.000021834610963                        -38.024125393659155
 5.433333333333333                         -0.000022118331392                        -37.324328660225554
 5.456666666666666                         -0.000022388036979                        -36.627219124021835
 5.480000000000000                         -0.000022643760072                        -35.932744085767844
 5.503333333333333                         -0.000022885537427                        -35.240851504440435
 5.526666666666666                         -0.000023113410573                        -34.551489979887862
 5.550000000000000                         -0.000023327425480                        -33.864608735819822
 5.573333333333333                         -0.000023527632866                        -33.180157603160978
 5.596666666666666                         -0.000023714087955                        -32.498087003755352
 5.620000000000000                         -0.000023886850607                        -31.818347934410980
 5.643333333333333                         -0.000024045985323                        -31.140891951272920
 5.666666666666666                         -0.000024191561260                        -30.465671154513409
 5.690000000000000                         -0.000024323651959                        -29.792638173329969
 5.713333333333333                         -0.000024442335873                        -29.121746151239520
 5.736666666666666                         -0.000024547695784                        -28.452948731659720
 5.760000000000000                         -0.000024639819247                        -27.786200043767124
 5.783333333333333                         -0.000024718798296                        -27.121454688623544
 5.806666666666666                         -0.000024784729568                        -26.458667725560201
 5.830000000000000                         -0.000024837714360                        -25.797794658812464
 5.853333333333333                         -0.000024877858321                        -25.138791424395098
 5.876666666666666                         -0.000024905271842                        -24.481614377209858
 5.900000000000000                         -0.000024920069790                        -23.826220278378294
 5.923333333333333                         -0.000024922371459                        -23.172566282790367
 5.946666666666666                         -0.000024912300784                        -22.520609926861837
 5.970000000000000                         -0.000024889986084                        -21.870309116492674
 5.993333333333333                         -0.000024855560164                        -21.221622115219528
 6.016666666666666                         -0.000024809160296                        -20.574507532554374
 6.040000000000000                         -0.000024750928191                        -19.928924312502271
 6.063333333333333                         -0.000024681009930                        -19.284831722252676
 6.086666666666666                         -0.000024599555945                        -18.642189341035216
 6.110000000000000                         -0.000024506721156                        -18.000957049136208
